Model,Best_Threshold,Precision,Recall,F1
LogReg,0.6075,0.954197482807837,0.9655987394957983,0.9598642563466684
RandomForest,0.7325,0.9613894455577823,0.9448529411764706,0.9530494669227203
GradBoost,0.6175,0.9346314325452016,0.9705882352941176,0.9522705314009662
XGBoost,0.27,0.931229570027659,0.9725577731092437,0.9514450867052023
