Model,Precision,Recall,F1
LogReg,0.9434538970962812,0.9726890756302521,0.9578484613395397
GradBoost,0.9287770684691451,0.9742647058823529,0.9509772508811278
RandomForest,0.9247539554005232,0.9746586134453782,0.9490506936009717
