iter	Passed	Remaining
398	146705	220976
399	147063	220595
400	147405	220189
401	147718	219739
402	148042	219308
403	148378	218895
404	148728	218502
405	149085	218119
406	149427	217716
407	149737	217266
408	150067	216845
409	150429	216471
410	150791	216097
411	151128	215687
412	151474	215291
413	151821	214897
414	152164	214497
415	152495	214080
416	152813	213645
417	153166	213260
418	153505	212856
419	153878	212498
420	154206	212080
421	154552	211685
422	154892	211283
423	155212	210855
424	155563	210468
425	155907	210072
426	156244	209667
427	156568	209245
428	156894	208826
429	157228	208418
430	157583	208039
431	157949	207674
432	158292	207278
433	158628	206874
434	159002	206520
435	159330	206105
436	159702	205749
437	160093	205417
438	160485	205085
439	160859	204730
440	161220	204358
441	161559	203959
442	161913	203579
443	162253	203181
444	162598	202791
445	162930	202384
446	163265	201981
447	163622	201606
448	164008	201267
449	164371	200898
450	164728	200523
451	165070	200130
452	165434	199762
453	165766	199358
454	166158	199025
455	166490	198620
456	166823	198217
457	167182	197845
458	167553	197487
459	167888	197086
460	168248	196715
461	168607	196344
462	168983	195991
463	169317	195590
464	169690	195235
465	170022	194833
466	170404	194487
467	170746	194095
468	171118	193739
469	171480	193371
470	171837	192998
471	172208	192639
472	172548	192247
473	172885	191851
474	173208	191441
475	173560	191061
476	173905	190675
477	174253	190293
478	174631	189943
479	174973	189554
480	175325	189176
481	175652	188771
482	175986	188375
483	176399	188062
484	176798	187734
485	177172	187379
486	177587	187068
487	177912	186662
488	178242	186261
489	178574	185863
490	178927	185487
491	179307	185138
492	179648	184749
493	180019	184392
494	180372	184016
495	180692	183606
496	181030	183216
497	181389	182846
498	181763	182491
499	182114	182114
500	182436	181708
501	182783	181326
502	183112	180928
503	183423	180512
504	183767	180128
505	184083	179718
506	184451	179358
507	184817	178996
508	185168	178620
509	185504	178229
510	185849	177848
511	186213	177484
512	186583	177126
513	186933	176750
514	187267	176358
515	187635	175999
516	187974	175612
517	188321	175233
518	188659	174846
519	189004	174465
520	189354	174089
521	189660	173673
522	189993	173282
523	190344	172908
524	190698	172536
525	191055	172167
526	191400	171787
527	191746	171410
528	192105	171042
529	192436	170651
530	192815	170301
531	193224	169979
532	193651	169672
533	194066	169353
534	194448	169006
535	194782	168617
536	195146	168254
537	195533	167911
538	195882	167535
539	196252	167177
540	196627	166824
541	196967	166441
542	197299	166051
543	197624	165655
544	197970	165278
545	198299	164886
546	198638	164503
547	199016	164152
548	199370	163781
549	199700	163391
550	200061	163026
551	200433	162670
552	200777	162292
553	201136	161925
554	201514	161574
555	201870	161205
556	202241	160848
557	202594	160477
558	202948	160107
559	203289	159727
560	203639	159353
561	204017	159002
562	204340	158608
563	204684	158231
564	205037	157860
565	205353	157462
566	205718	157101
567	206030	156699
568	206387	156331
569	206744	155964
570	207111	155605
571	207469	155239
572	207820	154868
573	208225	154536
574	208614	154193
575	208968	153823
576	209350	153475
577	209719	153116
578	210129	152788
579	210539	152459
580	210891	152088
581	211260	151729
582	211648	151385
583	212032	151037
584	212395	150673
585	212807	150345
586	213139	149959
587	213499	149595
588	213878	149243
589	214276	148904
590	214649	148547
591	214979	148161
592	215357	147808
593	215716	147442
594	216049	147058
595	216420	146701
596	216783	146337
597	217152	145979
598	217540	145632
599	217841	145227
600	218227	144879
601	218574	144506
602	218923	144133
603	219291	143773
604	219642	143402
605	219991	143030
606	220314	142642
607	220662	142269
608	221010	141896
609	221349	141518
610	221713	141156
611	222066	140787
612	222386	140397
613	222736	140026
614	223091	139658
615	223430	139281
616	223806	138926
617	224168	138563
618	224517	138192
619	224882	137831
620	225223	137455
621	225560	137076
622	225939	136724
623	226342	136386
624	226742	136045
625	227153	135711
626	227530	135357
627	227885	134989
628	228229	134615
629	228590	134251
630	228922	133870
631	229262	133494
632	229617	133127
633	229981	132765
634	230360	132411
635	230695	132033
636	231218	131761
637	231767	131504
638	232291	131232
639	232709	130899
640	233112	130557
641	233511	130213
642	233848	129835
643	234168	129447
644	234515	129074
645	234850	128695
646	235212	128330
647	235560	127958
648	235915	127590
649	236273	127224
650	236598	126840
651	236977	126485
652	237344	126123
653	237705	125758
654	238056	125388
655	238488	125061
656	238882	124713
657	239332	124394
658	239721	124043
659	240136	123706
660	240476	123330
661	240892	122993
662	241292	122647
663	241679	122295
664	242032	121925
665	242428	121578
666	242877	121256
667	243311	120927
668	243733	120591
669	244079	120218
670	244446	119855
671	244818	119494
672	245227	119152
673	245587	118785
674	245952	118421
675	246317	118057
676	246684	117694
677	247096	117352
678	247486	117000
679	247865	116642
680	248252	116288
681	248602	115917
682	249053	115593
683	249457	115246
684	249837	114888
685	250237	114540
686	250710	114224
687	251113	113877
688	251500	113522
689	251875	113161
690	252242	112797
691	252606	112431
692	253006	112082
693	253403	111731
694	253777	111369
695	254130	110999
696	254496	110634
697	254837	110259
698	255173	109881
699	255502	109501
700	255832	109121
701	256194	108755
702	256539	108381
703	256896	108013
704	257236	107638
705	257601	107273
706	257939	106897
707	258271	106518
708	258629	106150
709	258994	105786
710	259381	105430
711	259811	105092
712	260210	104740
713	260569	104373
714	260919	104002
715	261277	103635
716	261621	103262
717	261963	102888
718	262306	102514
719	262656	102144
720	263007	101774
721	263363	101405
722	263692	101027
723	264021	100649
724	264381	100282
725	264735	99913
726	265088	99544
727	265426	99170
728	265749	98790
729	266124	98429
730	266473	98059
731	266853	97700
732	267212	97333
733	267573	96967
734	267903	96591
735	268252	96221
736	268586	95845
737	268955	95482
738	269304	95113
739	269673	94750
740	270019	94379
741	270382	94014
742	270721	93641
743	271091	93278
744	271446	92911
745	271784	92537
746	272130	92167
747	272502	91805
748	272834	91430
749	273198	91066
750	273576	90706
751	273947	90344
752	274323	89984
753	274689	89620
754	275055	89256
755	275414	88890
756	275787	88528
757	276166	88169
758	276598	87826
759	276937	87453
760	277280	87082
761	277623	86711
762	277989	86347
763	278344	85980
764	278690	85610
765	279049	85244
766	279393	84874
767	279744	84506
768	280114	84143
769	280451	83771
770	280792	83400
771	281152	83034
772	281519	82671
773	281867	82302
774	282253	81944
775	282579	81569
776	282967	81211
777	283309	80841
778	283670	80476
779	284050	80116
780	284410	79751
781	284801	79394
782	285142	79024
783	285492	78655
784	285837	78286
785	286200	77922
786	286536	77550
787	286863	77176
788	287169	76796
789	287574	76443
790	287921	76075
791	288266	75706
792	288641	75345
793	288995	74978
794	289358	74614
795	289800	74270
796	290139	73900
797	290497	73534
798	290860	73170
799	291223	72805
800	291575	72438
801	291951	72077
802	292321	71715
803	292727	71361
804	293141	71009
805	293496	70643
806	293838	70273
807	294207	69910
808	294563	69544
809	294906	69175
810	295250	68806
811	295625	68445
812	295956	68073
813	296284	67701
814	296654	67338
815	297014	66973
816	297412	66617
817	297759	66249
818	298120	65884
819	298446	65512
820	298803	65147
821	299177	64785
822	299528	64418
823	299871	64050
824	300219	63682
825	300582	63318
826	300936	62952
827	301293	62587
828	301617	62215
829	301961	61847
830	302306	61479
831	302659	61113
832	303018	60749
833	303350	60379
834	303682	60009
835	304039	59644
836	304379	59275
837	304721	58907
838	305069	58541
839	305405	58172
840	305773	57809
841	306118	57442
842	306497	57082
843	306856	56717
844	307192	56348
845	307524	55979
846	307869	55612
847	308186	55240
848	308584	54883
849	308956	54521
850	309391	54170
851	309796	53814
852	310172	53452
853	310487	53080
854	311102	52760
855	311974	52481
856	312422	52131
857	312795	51767
858	313143	51400
859	313539	51041
860	313966	50686
861	314347	50324
862	314746	49965
863	315127	49603
864	315491	49238
865	315841	48871
866	316223	48509
867	316601	48146
868	317011	47788
869	317415	47429
870	317774	47064
871	318133	46698
872	318504	46334
873	318867	45969
874	319216	45602
875	319555	45233
876	319897	44865
877	320212	44494
878	320531	44123
879	320866	43754
880	321221	43388
881	321587	43024
882	321932	42656
883	322267	42288
884	322616	41921
885	322944	41552
886	323303	41187
887	323645	40820
888	324011	40455
889	324368	40090
890	324723	39724
891	325121	39364
892	325538	39006
893	325965	38649
894	326363	38288
895	326700	37920
896	327073	37556
897	327463	37195
898	327804	36827
899	328179	36464
900	328538	36099
901	328862	35730
902	329220	35364
903	329579	34999
904	329947	34635
905	330302	34269
906	330639	33902
907	331016	33539
908	331390	33175
909	331777	32813
910	332160	32450
911	332506	32083
912	332896	31721
913	333260	31357
914	333593	30989
915	333945	30623
916	334326	30260
917	334681	29895
918	335100	29535
919	335472	29171
920	335838	28806
921	336241	28445
922	336641	28083
923	337025	27720
924	337411	27357
925	337855	26999
926	337855	26999
927	338620	26300
928	339252	25955
929	339852	25607
930	340324	25249
931	340767	24889
932	341161	24525
933	341514	24158
934	341936	23796
935	342434	23439
936	342834	23075
937	343185	22708
938	343666	22349
939	344137	21989
940	344855	21645
941	345315	21284
942	345775	20922
943	346145	20555
944	346492	20187
945	346836	19819
946	347204	19452
947	347579	19085
948	347978	18720
949	348353	18353
950	348774	17989
951	349165	17623
952	349562	17257
953	349925	16890
954	350333	16525
955	350740	16159
956	351128	15793
957	351498	15426
958	351864	15058
959	352245	14692
960	352616	14325
961	353002	13958
962	353349	13590
963	353724	13223
964	354100	12856
965	354465	12488
966	354878	12123
967	355293	11757
968	355699	11391
969	356086	11024
970	356517	10658
971	356860	10290
972	357209	9922
973	357577	9555
974	357931	9187
975	358296	8819
976	358658	8451
977	359028	8084
978	359385	7716
979	359745	7349
980	360099	6981
981	360463	6614
982	360844	6246
983	361155	5878
984	361422	5509
985	361765	5141
986	362099	4774
987	362352	4405
988	362694	4038
989	363025	3670
990	363252	3302
991	363459	2934
992	363649	2566
993	363844	2198
994	364039	1831
995	364234	1464
996	364427	1097
997	364619	731
998	364820	365
999	365032	0
