iter	RMSE
0	159.9893693
1	152.5893031
2	145.5921372
3	139.1594433
4	133.2564848
5	127.7772835
6	122.5292466
7	117.6743859
8	113.2662978
9	108.8900985
10	105.3223727
11	101.6496901
12	98.26299754
13	95.05039515
14	92.16785555
15	89.30664366
16	86.7793826
17	84.39737629
18	82.60260338
19	80.39802632
20	78.32562849
21	77.9526661
22	76.11521544
23	75.76561855
24	73.86927199
25	73.52799632
26	73.17360943
27	72.73675064
28	72.4315353
29	72.09906944
30	71.78842687
31	71.50417816
32	69.79553343
33	68.29959938
34	68.03036087
35	67.77082789
36	67.49627121
37	67.23382139
38	66.99046682
39	66.73189105
40	65.171404
41	64.93708261
42	64.7029879
43	64.47070931
44	64.24896513
45	64.03054092
46	62.67495232
47	62.46435552
48	62.25753766
49	62.05762595
50	61.8643834
51	60.53950183
52	60.35684389
53	58.68311971
54	58.50288822
55	58.32732544
56	58.15541755
57	57.09041634
58	56.92709918
59	55.81670557
60	55.65851423
61	55.50906658
62	55.36227218
63	55.21569918
64	55.07567006
65	53.66447261
66	53.52679494
67	53.39245111
68	53.23659234
69	53.10855367
70	51.65041722
71	51.52984119
72	51.41055429
73	51.29498798
74	50.21743902
75	49.02665809
76	48.91045899
77	47.713237
78	46.60698461
79	46.47869334
80	46.37430339
81	46.27212471
82	46.17265226
83	45.22839369
84	45.11926333
85	45.02843803
86	44.93534094
87	44.84724813
88	44.75766358
89	43.69263943
90	42.91245959
91	42.82847582
92	42.73391398
93	42.64159836
94	42.56411002
95	41.70114773
96	41.62577941
97	40.83212169
98	40.76188372
99	40.69728286
100	39.9112541
101	39.83617875
102	39.76867688
103	39.70368566
104	39.62547
105	38.92905836
106	38.86862312
107	38.81079974
108	38.07906042
109	37.19252534
110	36.555256
111	36.48578566
112	36.42918197
113	35.77383814
114	35.70928934
115	35.65426757
116	35.6026646
117	35.00392895
118	34.94683029
119	34.89719076
120	34.11440053
121	34.06713041
122	34.02053878
123	33.5489059
124	33.50498965
125	33.46081624
126	33.01432025
127	32.97074047
128	32.92953896
129	32.34898339
130	31.88343042
131	31.84095632
132	31.80066649
133	31.76103936
134	31.72155868
135	31.68271623
136	31.63800313
137	31.59993046
138	31.56257429
139	31.52693775
140	31.49093543
141	31.45546614
142	31.42056749
143	31.38655832
144	30.88914773
145	30.85437518
146	30.82053673
147	30.7871278
148	30.75315372
149	30.71943557
150	30.20035486
151	30.16594685
152	30.13295264
153	30.10025783
154	30.06851485
155	30.03721761
156	29.99823979
157	29.49459621
158	29.46302796
159	29.43321696
160	29.40428298
161	29.3666491
162	29.33694881
163	29.30754071
164	29.27414274
165	29.24523784
166	29.21642104
167	29.18855686
168	29.16030858
169	29.13258002
170	28.78394113
171	28.75622042
172	28.7292345
173	28.33714086
174	28.310393
175	28.28375328
176	28.25762247
177	28.22492502
178	27.72095435
179	27.6955779
180	27.66774126
181	27.64272189
182	27.61794152
183	27.18036317
184	27.15334041
185	27.12919296
186	27.10510064
187	27.08134146
188	27.0577405
189	27.02833135
190	26.56945203
191	26.5460254
192	26.522851
193	26.50002768
194	26.47741637
195	26.45506518
196	26.43282393
197	26.41081837
198	26.38889856
199	26.36491836
200	26.34332925
201	26.3218612
202	26.30047443
203	26.01934702
204	25.99115497
205	25.97016792
206	25.94938069
207	25.92874296
208	25.90813546
209	25.88134918
210	25.86106403
211	25.84099184
212	25.82098388
